Name,Stage,Mic,Menu,Helper,Host,DJ,Duck
AliceD,True,True,True,False,True,False,True
'Saya',True,True,True,False,True,True,True
Karet,True,True,True,False,False,False,False
Nightwisp,True,True,True,False,False,False,False
rach․,True,False,False,False,False,False,False
Shokushra,True,False,True,True,False,False,False
ᴄᴏᴅʏ,True,True,True,False,False,False,False
Pesky12,True,True,True,False,False,False,False
Chanoler,True,True,True,False,False,False,False
Hroi,True,True,True,False,False,False,False
De_Mez,True,True,True,False,False,False,False
-Blurple-,False,False,True,True,False,False,False
DarknessofDark,False,False,False,False,False,False,True
Advanced Derp,False,False,True,True,False,False,False
loka666,False,False,True,True,False,False,False
MCItech,False,False,True,True,False,False,False
Zivaniafezt,False,False,True,True,False,False,False
ItsNexiiツ,False,False,True,True,False,False,False
Usеr,False,False,True,False,True,False,False
General N․ Core,True,False,False,False,False,False,False
~Alinda~,False,False,True,True,False,False,False
Charatanuki,False,False,True,True,False,False,False
Kitsune。,True,False,False,False,False,True,False
Timboy_,True,False,False,False,False,True,False
n a k u,True,False,False,False,False,True,False
